timestamp(ns),image_idx
1709593538335432030,151
1709593538368531359,152
1709593538402142019,153
1709593538435827822,154
1709593538468830128,155
1709593538501907148,156
1709593538535414487,157
1709593538568552211,158
1709593538601779228,159
1709593538635391164,160
1709593538668889801,161
1709593538703263059,162
1709593538738221998,163
1709593538768916381,164
1709593538802227140,165
1709593538835210924,166
1709593538868612411,167
1709593538901994199,168
1709593538935354772,169
1709593538968701851,170
1709593539002664922,171
1709593539035877651,172
1709593539069018212,173
1709593539101902383,174
1709593539135436314,175
1709593539168781581,176
1709593539202161580,177
1709593539235450360,178
1709593539268915721,179
1709593539302550831,180
1709593539335468670,181
1709593539369247649,182
1709593539402328981,183
1709593539435628053,184
1709593539468931992,185
1709593539502315193,186
1709593539535564422,187
1709593539568873608,188
1709593539602197860,189
1709593539635606555,190
1709593539669231742,191
1709593539702023211,192
1709593539735607529,193
1709593539768654135,194
1709593539802139115,195
1709593539835317375,196
1709593539868539954,197
1709593539902190647,198
1709593539935520875,199
1709593539968843422,200
1709593540001942199,201
1709593540035659321,202
1709593540068835223,203
1709593540102390133,204
1709593540135505963,205
1709593540169181750,206
1709593540202089426,207
1709593540235564438,208
1709593540268857267,209
1709593540302192935,210
1709593540335697107,211
1709593540369035475,212
1709593540402166034,213
1709593540435499442,214
1709593540468817128,215
1709593540502083839,216
1709593540535342559,217
1709593540568876668,218
1709593540602210303,219
1709593540635605893,220
1709593540668931200,221
1709593540702293410,222
1709593540735468396,223
1709593540769147199,224
1709593540802332520,225
1709593540835446261,226
1709593540869152205,227
1709593540902241646,228
1709593540935220929,229
1709593540968516701,230
1709593541001931343,231
1709593541035313558,232
1709593541068822434,233
1709593541101974675,234
1709593541135372352,235
1709593541168538387,236
1709593541202126186,237
1709593541235141594,238
1709593541268714581,239
1709593541302264448,240
1709593541335403838,241
1709593541368953483,242
1709593541402623652,243
1709593541436130626,244
1709593541469217773,245
1709593541502465790,246
1709593541535582944,247
1709593541569287360,248
1709593541602539244,249
1709593541635396883,250
1709593541668880860,251
1709593541702173440,252
1709593541735408447,253
1709593541768938879,254
1709593541801872746,255
1709593541835255162,256
1709593541868655206,257
1709593541902085528,258
1709593541935673595,259
1709593541968731190,260
1709593542002346921,261
1709593542044161652,262
1709593542078568033,263
1709593542110540504,264
1709593542139567952,265
1709593542170622808,266
1709593542203525628,267
1709593542236512078,268
1709593542269659416,269
1709593542302916707,270
1709593542335628359,271
1709593542368818153,272
1709593542402157773,273
1709593542436145467,274
1709593542468945988,275
1709593542502368835,276
1709593542535507777,277
1709593542568642821,278
1709593542602372063,279
1709593542635400978,280
1709593542668651847,281
1709593542702336791,282
1709593542735542331,283
1709593542768920910,284
1709593542802105820,285
1709593542836367921,286
1709593542869056632,287
1709593542902225028,288
1709593542935682226,289
1709593542969124024,290
1709593543002313340,291
1709593543035797393,292
1709593543068643023,293
1709593543102332498,294
1709593543136451048,295
1709593543169005767,296
1709593543202369001,297
1709593543235622368,298
1709593543268914664,299
1709593543302025328,300
1709593543335268597,301
1709593543368780592,302
1709593543402155507,303
1709593543435479724,304
1709593543468772711,305
1709593543501832359,306
1709593543535455962,307
1709593543568958021,308
1709593543602644866,309
1709593543635663661,310
1709593543668921281,311
1709593543702457749,312
1709593543735536882,313
1709593543768654141,314
1709593543802226870,315
1709593543835404340,316
1709593543868617945,317
